2026-06-09 13:07:06 [http-nio-9329-exec-4] INFO  dblogger - DB check – organisation existence | email=admin@htitech.com
2026-06-09 13:07:07 [http-nio-9329-exec-4] INFO  dblogger - DB insert – saving organisation | name=HTI Technologies
2026-06-09 13:07:07 [http-nio-9329-exec-4] INFO  dblogger - DB insert – organisation saved successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:08:11 [http-nio-9329-exec-7] INFO  dblogger - DB select – fetching organisation by id | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:08:11 [http-nio-9329-exec-7] INFO  dblogger - DB select – organisation fetched successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:14:11 [http-nio-9329-exec-6] INFO  dblogger - DB select – fetching organisation for update | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:14:11 [http-nio-9329-exec-6] INFO  dblogger - DB update – saving organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:14:11 [http-nio-9329-exec-6] INFO  dblogger - DB update – organisation saved successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:15:28 [http-nio-9329-exec-2] INFO  dblogger - DB select – fetching organisation for update | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:15:28 [http-nio-9329-exec-2] INFO  dblogger - DB update – saving organisation | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:15:28 [http-nio-9329-exec-2] INFO  dblogger - DB update – organisation saved successfully | id=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:16:30 [http-nio-9329-exec-4] INFO  dblogger - DB check – organisation exists | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:16:30 [http-nio-9329-exec-4] INFO  dblogger - DB check – entity metadata duplicate | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 entityType=Department
2026-06-09 13:16:30 [http-nio-9329-exec-4] INFO  dblogger - DB insert – saving entity metadata | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 entityType=Department
2026-06-09 13:16:30 [http-nio-9329-exec-4] INFO  dblogger - DB insert – entity metadata saved successfully | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:16:49 [http-nio-9329-exec-5] INFO  dblogger - DB select – querying entity metadata | orgId=null entityType=null isActive=null
2026-06-09 13:16:50 [http-nio-9329-exec-5] INFO  dblogger - DB select – entity metadata query complete | totalElements=1
2026-06-09 13:17:26 [http-nio-9329-exec-8] INFO  dblogger - DB select – fetching entity metadata by id | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:17:26 [http-nio-9329-exec-8] INFO  dblogger - DB select – entity metadata fetched successfully | id=74b8c6a2-9dad-4b76-8a7c-2c6a7fb02ade
2026-06-09 13:17:50 [http-nio-9329-exec-7] INFO  dblogger - DB select – fetching entity metadata by orgId | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2
2026-06-09 13:17:50 [http-nio-9329-exec-7] INFO  dblogger - DB select – entity metadata fetched | orgId=8c14b740-f829-47e1-bca8-98606d0e68d2 count=1
